山のポーズ	山のポーズですね。難易度は初級です。ジャンルは立位です。太ももを使います。大腿四頭筋にトレーニング効果があります。姿勢改善 / 呼吸機能UP / 骨盤矯正とリラックス / 集中力に効果があります。
両手を強く上に上げるポーズ (別名: 手を上にあげたポーズ、太陽を仰ぐポーズ)	両手を強く上に上げるポーズ (別名: 手を上にあげたポーズ、太陽を仰ぐポーズ)ですね。難易度は初級です。ジャンルは立位です。太ももを使います。大腿四頭筋にトレーニング効果があります。骨盤矯正 / 姿勢改善とリフレッシュに効果があります。
椅子のポーズ (別名: 手を上にあげたポーズ、太陽を仰ぐポーズ)	椅子のポーズ (別名: 手を上にあげたポーズ、太陽を仰ぐポーズ)ですね。難易度は初級です。ジャンルは立位です。お腹 / 太もも / 体幹を使います。腹筋 / 大腿四頭筋 / ハムストリングス / 体幹にトレーニング効果があります。肩こりと姿勢改善とアクティブに効果があります。
半分の前屈のポーズ	半分の前屈のポーズですね。難易度は初級です。ジャンルは立位です。胸 / お腹 / お尻 / 体幹を使います。胸筋 / 腹筋 / 臀筋 / 体幹にトレーニング効果があります。腰痛と呼吸機能UPとアクティブに効果があります。注意事項として、坐骨神経痛、背中のトラブルの時にこのポーズは行わないでください。
戦士のポーズ2 (別名: 英雄のポーズ2、ウォーリア2)	戦士のポーズ2 (別名: 英雄のポーズ2、ウォーリア2)ですね。難易度は初級です。ジャンルは立位です。股関節 / お尻 / 太ももを使います。腸腰筋 / 臀筋 / 大腿四頭筋 / ハムストリングスにトレーニング効果があります。便秘と下半身強化と集中力に効果があります。注意事項として、鼠蹊部のトラブル、ひざのトラブルの時にこのポーズは行わないでください。
伸びた三角のポーズ (別名: 三角のポーズ)	伸びた三角のポーズ (別名: 三角のポーズ)ですね。難易度は初級です。ジャンルは立位です。お腹 / 太ももを使います。腹筋 / ハムストリングスにトレーニング効果があります。便秘 / 肩こりと下半身強化 / 内臓の働きとリラックス / 集中力に効果があります。注意事項として、首のけが、妊娠中の時にこのポーズは行わないでください。
ハイランジ	ハイランジですね。難易度は初級です。ジャンルは立位です。股関節 / お尻 / 太ももを使います。腸腰筋 / 臀筋 / 大腿四頭筋 / ハムストリングス / 下腿三頭筋にトレーニング効果があります。脚のむくみと下半身強化と集中力に効果があります。注意事項として、高血圧、腰のトラブル、ひざのトラブル、股関節のトラブルの時にこのポーズは行わないでください。
プレイヤーズツイスト (別名: 合唱ねじり、ねじった体側を伸ばすポーズ、ねじった脇ストレッチ、ツイストランジ)	プレイヤーズツイスト (別名: 合唱ねじり、ねじった体側を伸ばすポーズ、ねじった脇ストレッチ、ツイストランジ)ですね。難易度は中級です。ジャンルは立位 / ねじりです。お尻 / 太もも / 股関節を使います。腸腰筋 / 臀筋 / 大腿四頭筋 / ハムストリングスにトレーニング効果があります。便秘 / 腰痛と下半身強化 / 内臓の働き / 呼吸機能UPとリフレッシュに効果があります。注意事項として、椎間板のトラブル、骨粗しょう症、生理中、妊娠中の時にこのポーズは行わないでください。
戦士のポーズ1 (別名: 英雄のポーズ1、ウォーリア1)	戦士のポーズ1 (別名: 英雄のポーズ1、ウォーリア1)ですね。難易度は初級です。ジャンルは立位です。股関節 / お尻 / 太ももを使います。腸腰筋 / 臀筋 / 大腿四頭筋 / ハムストリングスにトレーニング効果があります。肩こりと呼吸機能UP / 下半身強化と集中力に効果があります。注意事項として、高血圧、腰のトラブル、ひざのトラブル、股関節のトラブルの時にこのポーズは行わないでください。
体側を伸ばすポーズ (別名: 体の脇を伸ばすポーズ)	体側を伸ばすポーズ (別名: 体の脇を伸ばすポーズ)ですね。難易度は中級です。ジャンルは立位です。背中 / お尻 / 太ももを使います。背筋 / 臀筋 / 大腿四頭筋 / ハムストリングスにトレーニング効果があります。便秘 / 腰痛と骨盤矯正 / 下半身強化とリフレッシュに効果があります。注意事項として、鼠径部のトラブル、ひざのトラブルの時にこのポーズは行わないでください。
